inventory_id,blood_bank_id,blood_group,available_units,reserved_units,last_updated,inventory_status
INV0001,BB001,A+,67,11,2026-07-05 14:06:00,GOOD
INV0002,BB001,A-,0,0,2026-07-26 03:25:00,CRITICAL
INV0003,BB001,AB+,20,1,2026-06-28 14:21:00,NORMAL
INV0004,BB001,AB-,5,0,2026-07-06 03:50:00,LOW
INV0005,BB001,B+,49,2,2026-06-26 04:14:00,GOOD
INV0006,BB001,O+,96,26,2026-07-02 22:08:00,GOOD
INV0007,BB001,O-,0,0,2026-08-05 03:11:00,CRITICAL
INV0008,BB002,A+,77,20,2026-07-25 05:34:00,GOOD
INV0009,BB002,AB+,42,10,2026-08-06 08:04:00,GOOD
INV0010,BB002,B+,149,18,2026-06-27 14:30:00,GOOD
INV0011,BB002,B-,18,5,2026-07-13 14:31:00,NORMAL
INV0012,BB002,O+,28,0,2026-07-28 09:34:00,GOOD
INV0013,BB002,O-,15,3,2026-07-25 13:22:00,NORMAL
INV0014,BB003,A+,46,5,2026-06-23 13:14:00,GOOD
INV0015,BB003,AB-,11,3,2026-07-30 12:28:00,NORMAL
INV0016,BB003,B+,37,5,2026-07-23 09:53:00,GOOD
INV0017,BB003,B-,20,3,2026-07-23 19:54:00,NORMAL
INV0018,BB003,O+,22,2,2026-07-14 04:34:00,GOOD
INV0019,BB003,O-,7,0,2026-07-18 05:14:00,NORMAL
INV0020,BB004,A+,90,6,2026-07-28 08:28:00,GOOD
INV0021,BB004,AB+,32,7,2026-07-19 08:59:00,GOOD
INV0022,BB004,AB-,2,0,2026-07-06 09:45:00,LOW
INV0023,BB004,B+,65,18,2026-07-16 22:57:00,GOOD
INV0024,BB004,B-,21,3,2026-06-30 03:17:00,GOOD
INV0025,BB005,A-,33,4,2026-07-04 23:06:00,GOOD
INV0026,BB005,B+,37,6,2026-07-30 15:14:00,GOOD
INV0027,BB005,O+,103,24,2026-07-13 12:58:00,GOOD
INV0028,BB006,AB+,28,0,2026-07-02 06:48:00,GOOD
INV0029,BB006,B+,102,17,2026-07-20 21:36:00,GOOD
INV0030,BB006,B-,35,7,2026-07-03 15:08:00,GOOD
INV0031,BB006,O+,40,2,2026-08-01 11:37:00,GOOD
INV0032,BB006,O-,25,5,2026-07-03 12:12:00,GOOD
INV0033,BB007,A+,46,3,2026-06-30 07:35:00,GOOD
INV0034,BB007,A-,35,0,2026-08-05 22:52:00,GOOD
INV0035,BB007,AB-,22,2,2026-07-08 07:31:00,GOOD
INV0036,BB007,B+,48,9,2026-07-06 19:40:00,GOOD
INV0037,BB007,B-,42,5,2026-07-28 11:21:00,GOOD
INV0038,BB007,O+,86,18,2026-07-17 07:07:00,GOOD
INV0039,BB007,O-,16,4,2026-07-07 01:24:00,NORMAL
INV0040,BB008,A+,86,15,2026-08-06 12:39:00,GOOD
