issue_id,blood_bank_id,blood_group,component_type,units,issue_date,hospital_id
ISSUE7959BC7495,BB005,A+,RBC,5,2026-04-23,HOSP008
ISSUEA74AB081E2,BB005,A+,RBC,4,2026-07-16,HOSP007
ISSUEB21020E0EB,BB005,A+,RBC,6,2026-02-28,HOSP001
ISSUE49C90116BA,BB005,A+,RBC,4,2026-05-31,HOSP003
ISSUEE19543F747,BB005,A+,RBC,2,2024-09-10,HOSP003
ISSUEA0C6047869,BB005,A+,RBC,3,2026-02-20,HOSP010
ISSUE20C4270AE2,BB005,A+,RBC,1,2026-02-12,HOSP005
ISSUE25A837EF9F,BB005,A+,RBC,1,2026-05-02,HOSP003
ISSUE47FCC37B02,BB005,A+,RBC,1,2026-05-11,HOSP002
ISSUE9B525C8BAB,BB005,A+,RBC,1,2023-08-13,HOSP009
ISSUE9B80228777,BB005,A+,RBC,2,2024-12-14,HOSP012
ISSUE06A2802A2D,BB005,A+,Plasma,4,2026-04-19,HOSP008
ISSUE9700D88957,BB005,A+,Plasma,5,2026-03-09,HOSP001
ISSUEAE48027E53,BB005,A+,Plasma,5,2026-05-13,HOSP007
ISSUE5EDB521DED,BB005,A+,Plasma,3,2025-05-29,HOSP011
ISSUE442A2929F4,BB005,A+,Plasma,4,2026-05-29,HOSP006
ISSUE05168B4944,BB005,A+,Plasma,3,2025-01-04,HOSP008
ISSUE64D25FB434,BB005,A+,Plasma,2,2026-02-22,HOSP012
ISSUE2453C11321,BB005,A+,Plasma,2,2026-02-06,HOSP012
ISSUE350FAC3D55,BB005,A+,Plasma,1,2025-09-19,HOSP005
ISSUE448586FCA6,BB005,A+,Platelets,3,2026-04-16,HOSP003
ISSUEAE0D643B6F,BB005,A+,Platelets,2,2026-07-19,HOSP005
ISSUE7F70314E61,BB005,A+,Platelets,2,2025-07-26,HOSP001
ISSUE6C024DDCD7,BB012,AB+,RBC,1,2025-09-24,HOSP011
ISSUEC4C89D4DB4,BB012,AB+,RBC,1,2025-11-02,HOSP007
ISSUED77E5ECCBB,BB012,AB+,RBC,1,2024-03-07,HOSP002
ISSUE9D7BDC89B8,BB012,AB+,RBC,1,2026-06-29,HOSP007
ISSUED8D18B3ED8,BB012,AB+,RBC,1,2024-06-29,HOSP002
ISSUEA1FBF315C6,BB012,AB+,Plasma,1,2025-09-25,HOSP001
ISSUE77C9FEFB51,BB012,AB+,Plasma,1,2026-02-26,HOSP008
ISSUE3CB0C8BE37,BB012,AB+,Plasma,1,2024-06-28,HOSP010
ISSUE7F58C6E391,BB002,A+,RBC,5,2024-03-24,HOSP002
ISSUEF18EC5DF9F,BB002,A+,RBC,6,2026-04-19,HOSP012
ISSUE0AEA7E3822,BB002,A+,RBC,2,2022-05-25,HOSP010
ISSUE84AA3D9D45,BB002,A+,RBC,3,2025-07-18,HOSP005
ISSUE1E2A5DACBE,BB002,A+,RBC,2,2023-02-19,HOSP010
ISSUE05D85FC2E7,BB002,A+,RBC,2,2026-01-05,HOSP007
ISSUE254BD78144,BB002,A+,RBC,2,2025-12-29,HOSP006
ISSUE7ABAFD05B2,BB002,A+,RBC,2,2025-11-02,HOSP002
ISSUEBCF77C7C77,BB002,A+,RBC,1,2025-03-14,HOSP007
ISSUE781A9CFC28,BB002,A+,RBC,2,2025-04-01,HOSP001
ISSUEE0A99E4022,BB002,A+,RBC,1,2023-12-11,HOSP006
ISSUECFDDECC9AE,BB002,A+,RBC,1,2025-01-18,HOSP009
ISSUE9A1F17254F,BB002,A+,RBC,1,2023-12-29,HOSP004
ISSUE59B3C4D1FA,BB002,A+,RBC,1,2025-04-15,HOSP008
ISSUE1D2D22E916,BB002,A+,RBC,1,2023-11-04,HOSP006
ISSUE10842DD328,BB002,A+,Plasma,7,2024-03-24,HOSP001
ISSUEA711743945,BB002,A+,Plasma,5,2026-01-06,HOSP006
ISSUEF0A14A725B,BB002,A+,Plasma,2,2025-09-18,HOSP001
ISSUE4ECFD9BDAF,BB002,A+,Plasma,2,2023-02-13,HOSP010
