transfer_id,source_bank_id,destination_bank_id,blood_group,component_type,units,transfer_date,status
TRFB77C6E0332,BB005,BB004,A+,RBC,4,2026-08-07,COMPLETED
TRFAFF78B4FA0,BB002,BB011,A+,RBC,1,2026-08-04,COMPLETED
TRF0A39BFC718,BB015,BB003,A+,RBC,4,2026-08-16,COMPLETED
TRFA6A225439B,BB019,BB005,A+,RBC,3,2026-08-10,COMPLETED
TRFFC5942C58A,BB008,BB018,A+,RBC,2,2026-08-13,COMPLETED
TRF5A581805AC,BB003,BB004,A+,RBC,4,2026-08-11,COMPLETED
TRF5ED664BDA5,BB014,BB011,A+,RBC,4,2026-08-13,COMPLETED
TRF1091F0D524,BB011,BB002,A+,RBC,8,2026-08-03,COMPLETED
TRFAE99C94A18,BB020,BB005,A+,RBC,3,2026-07-30,COMPLETED
TRF12A77CA7CD,BB016,BB011,A+,RBC,2,2026-08-12,COMPLETED
TRF1A19D20C0B,BB007,BB010,A+,RBC,3,2026-08-12,COMPLETED
TRF5AD137BB5E,BB006,BB016,A+,RBC,2,2026-08-02,COMPLETED
TRFC84F7B51BD,BB018,BB012,A+,RBC,4,2026-07-29,COMPLETED
TRF5CBAAADE2A,BB009,BB004,A+,RBC,5,2026-08-07,COMPLETED
TRF03C21C3D30,BB010,BB014,A+,RBC,3,2026-08-11,COMPLETED
TRFB89951016F,BB001,BB007,A+,RBC,4,2026-08-11,COMPLETED
TRF5C25860B50,BB017,BB005,A+,RBC,2,2026-08-12,COMPLETED
TRF24B66A9E7B,BB012,BB015,A+,RBC,5,2026-08-11,COMPLETED
TRF1CA837AECB,BB004,BB013,A+,RBC,9,2026-08-11,COMPLETED
TRFBEF6C265E1,BB005,BB003,A+,Plasma,2,2026-07-31,COMPLETED
TRFDE4B9F403B,BB002,BB001,A+,Plasma,3,2026-08-05,COMPLETED
TRFDEAA093149,BB015,BB008,A+,Plasma,4,2026-08-10,COMPLETED
TRFE5668A1968,BB019,BB012,A+,Plasma,2,2026-07-29,COMPLETED
TRF9308131D8E,BB008,BB001,A+,Plasma,2,2026-08-13,COMPLETED
TRFAAFCED1500,BB013,BB002,A+,Plasma,9,2026-08-06,COMPLETED
