blood_bank_id,blood_group,component_type,available_units,expiry_status,last_transaction_at
BB005,A+,RBC,13,VALID,2026-08-12 15:07:00
BB005,A+,Plasma,8,VALID,2026-07-31 09:33:00
BB005,A+,Platelets,9,EXPIRED,2026-07-19 11:54:00
BB012,AB+,RBC,6,EXPIRED,2026-08-14 12:42:00
BB012,AB+,Plasma,5,VALID,2026-06-25 09:45:00
BB002,A+,RBC,13,EXPIRED,2026-08-04 15:29:00
BB002,A+,Plasma,13,VALID,2026-08-06 16:48:00
BB002,A+,Platelets,11,EXPIRED,2026-05-09 13:14:00
BB007,O-,RBC,5,EXPIRED,2026-01-15 13:02:00
BB007,O-,Plasma,7,VALID,2026-01-15 18:30:00
BB020,O+,RBC,16,VALID,2026-08-07 12:13:00
BB020,O+,Plasma,6,VALID,2026-08-05 14:28:00
BB013,B+,RBC,7,EXPIRED,2026-06-24 17:34:00
BB013,B+,Plasma,10,VALID,2026-06-26 10:46:00
BB013,B+,Platelets,9,EXPIRED,2026-07-04 11:26:00
BB015,A+,RBC,11,VALID,2026-08-16 11:10:00
BB015,A+,Plasma,7,VALID,2026-08-10 16:23:00
BB015,A+,Platelets,13,EXPIRED,2026-07-02 13:32:00
BB011,O+,RBC,8,VALID,2026-07-18 10:45:00
BB011,O+,Plasma,13,VALID,2026-07-14 11:58:00
BB011,O+,Platelets,13,EXPIRED,2026-07-12 09:22:00
BB019,A+,RBC,11,EXPIRING_SOON,2026-08-10 14:20:00
BB019,A+,Plasma,6,VALID,2026-07-29 13:36:00
BB008,A+,RBC,6,VALID,2026-08-13 15:34:00
BB008,A+,Plasma,6,VALID,2026-08-13 14:35:00
BB008,A+,Platelets,11,EXPIRED,2026-07-30 12:09:00
BB016,A-,RBC,3,EXPIRED,2025-09-25 18:14:00
BB016,A-,Plasma,4,VALID,2025-09-25 12:05:00
BB018,A-,RBC,3,EXPIRED,2025-08-15 17:03:00
BB018,A-,Plasma,3,EXPIRED,2025-08-11 16:02:00
BB002,O-,RBC,6,VALID,2026-08-12 13:24:00
BB002,O-,Plasma,4,VALID,2026-07-13 12:23:00
BB002,O-,Platelets,1,EXPIRED,2025-01-06 14:13:00
BB005,AB+,RBC,8,EXPIRED,2026-04-11 18:26:00
BB005,AB+,Plasma,5,VALID,2026-04-11 11:20:00
BB020,O+,Platelets,13,EXPIRED,2026-08-08 13:19:00
BB001,B+,RBC,3,EXPIRED,2026-03-12 17:09:00
BB001,B+,Plasma,6,VALID,2026-03-18 09:27:00
BB014,O+,RBC,7,VALID,2026-07-27 11:38:00
BB014,O+,Plasma,9,VALID,2026-07-27 18:07:00
BB014,O+,Platelets,6,EXPIRED,2026-05-22 12:21:00
BB007,O+,RBC,7,VALID,2026-07-17 18:56:00
BB007,O+,Plasma,16,VALID,2026-07-17 09:52:00
BB013,A+,RBC,12,VALID,2026-08-11 17:46:00
BB013,A+,Plasma,10,VALID,2026-08-07 16:42:00
BB002,O+,RBC,8,EXPIRED,2026-07-03 17:09:00
BB002,O+,Plasma,13,VALID,2026-07-03 08:10:00
BB002,O+,Platelets,9,EXPIRED,2026-07-03 10:33:00
BB006,O+,RBC,10,VALID,2026-07-24 13:33:00
BB006,O+,Plasma,7,VALID,2026-07-24 16:58:00
BB004,A-,RBC,5,EXPIRED,2026-06-23 18:32:00
BB004,A-,Plasma,6,VALID,2026-06-29 08:20:00
BB019,O+,RBC,16,EXPIRED,2026-07-02 15:36:00
BB019,O+,Plasma,14,VALID,2026-07-01 14:28:00
BB019,O+,Platelets,10,EXPIRED,2026-04-24 18:09:00
BB002,AB+,RBC,3,EXPIRED,2026-03-11 09:33:00
BB002,AB+,Plasma,3,VALID,2026-03-11 15:33:00
BB002,AB+,Platelets,1,EXPIRED,2025-12-15 08:13:00
BB013,O+,RBC,5,VALID,2026-08-03 12:18:00
BB013,O+,Plasma,16,VALID,2026-08-15 08:51:00
BB003,A+,RBC,14,EXPIRED,2026-08-16 18:22:00
BB003,A+,Plasma,13,VALID,2026-07-31 17:58:00
BB003,A+,Platelets,7,EXPIRED,2026-05-09 18:12:00
BB009,A-,RBC,9,EXPIRED,2026-06-21 15:32:00
BB009,A-,Plasma,13,VALID,2026-06-29 18:45:00
BB014,A+,RBC,11,EXPIRED,2026-08-13 09:00:00
BB014,A+,Plasma,6,VALID,2026-05-21 14:00:00
BB008,O+,RBC,20,VALID,2026-08-08 18:26:00
BB008,O+,Plasma,7,VALID,2026-08-08 16:01:00
BB008,O+,Platelets,10,EXPIRED,2026-08-09 09:37:00
BB005,A-,RBC,4,EXPIRED,2025-12-03 08:05:00
