transaction_id,blood_bank_id,blood_group,component_type,transaction_type,units,transaction_timestamp,source_donation_id,source_transfer_id,destination_bank_id,status,issue_id
TXNF3A41BEECA,BB009,A+,RBC,DONATION,3.0,2021-03-17 08:58:00,DONATION0902,,,POSTED,
TXN91DDC67A69,BB018,O+,Platelets,DONATION,1.0,2021-03-17 09:20:00,DONATION0305,,,POSTED,
TXN7151E166F2,BB009,A+,Plasma,DONATION,3.0,2021-03-17 13:45:00,DONATION0902,,,POSTED,
TXND6100DF630,BB018,O+,RBC,DONATION,1.0,2021-03-17 13:52:00,DONATION0305,,,POSTED,
TXN878E10237E,BB009,A+,Platelets,DONATION,3.0,2021-03-17 13:52:00,DONATION0902,,,POSTED,
TXNB2CC4465CE,BB018,O+,Plasma,DONATION,1.0,2021-03-17 15:25:00,DONATION0305,,,POSTED,
TXN37F9A68944,BB009,A+,Plasma,ISSUE,5.0,2021-03-22 09:46:00,,,,POSTED,ISSUEEC61851FF2
TXNAFE2D206BD,BB015,A-,RBC,DONATION,2.0,2021-03-23 09:38:00,DONATION1711,,,POSTED,
TXN7906F876ED,BB015,A-,Plasma,DONATION,2.0,2021-03-23 10:34:00,DONATION1711,,,POSTED,
TXN782DA4F4C8,BB015,A-,Platelets,DONATION,2.0,2021-03-23 13:52:00,DONATION1711,,,POSTED,
TXN9D3546B1A6,BB017,AB-,RBC,DONATION,1.0,2021-03-24 13:16:00,DONATION1426,,,POSTED,
TXNC1E00E7E68,BB017,AB-,Plasma,DONATION,1.0,2021-03-24 16:36:00,DONATION1426,,,POSTED,
TXNCE9F0C2ED5,BB015,A-,Platelets,EXPIRY,1.0,2021-03-28 17:15:00,,,,POSTED,
TXN392B754489,BB015,A-,RBC,ISSUE,1.0,2021-04-02 14:02:00,,,,POSTED,ISSUE774950D57C
TXN70CEA8D4B2,BB017,AB-,RBC,ISSUE,1.0,2021-04-03 08:13:00,,,,POSTED,ISSUEAD1C3889D8
TXN5D067965B9,BB002,O+,RBC,DONATION,1.0,2021-04-06 11:08:00,DONATION0802,,,POSTED,
TXN6DAE7CE557,BB002,O+,Plasma,DONATION,1.0,2021-04-06 11:52:00,DONATION0802,,,POSTED,
TXNA2CB006170,BB002,O+,Platelets,DONATION,1.0,2021-04-06 18:40:00,DONATION0802,,,POSTED,
TXNC89AB2EAD3,BB002,O+,Platelets,EXPIRY,2.0,2021-04-11 18:47:00,,,,POSTED,
TXN95664C369D,BB018,B+,Plasma,DONATION,1.0,2021-04-17 14:02:00,DONATION1434,,,POSTED,
TXN9DEBE2AA79,BB018,B+,Platelets,DONATION,1.0,2021-04-17 16:51:00,DONATION1434,,,POSTED,
TXN7460660AD1,BB018,B+,RBC,DONATION,1.0,2021-04-17 17:26:00,DONATION1434,,,POSTED,
TXN325F1DA5C3,BB018,B+,Platelets,EXPIRY,1.0,2021-04-22 09:40:00,,,,POSTED,
TXNDF9D5542D7,BB009,A+,RBC,EXPIRY,1.0,2021-04-28 13:01:00,,,,POSTED,
TXNB1A9D8C6D5,BB017,AB-,RBC,EXPIRY,1.0,2021-05-05 10:17:00,,,,POSTED,
TXNE3808D2912,BB002,B+,RBC,DONATION,1.0,2021-05-14 08:54:00,DONATION0154,,,POSTED,
TXN0C45AA5301,BB002,B+,Platelets,DONATION,1.0,2021-05-14 14:23:00,DONATION0154,,,POSTED,
